"","CaseID","nClients","nMH","nClose","ratio"
"1",28892,4,1,3,0.25
"2",28994,4,1,2,0.25
"3",29003,4,2,3,0.5
"4",29057,7,2,3,0.29
"5",29128,3,1,2,0.33
"6",29164,7,2,3,0.29
"7",29206,3,2,6,0.67
"8",29350,10,5,3,0.5
"9",29521,6,2,2,0.33
"10",29540,11,2,4,0.18
"11",29578,3,2,1,0.67
"12",29589,11,6,2,0.55
"13",29594,5,3,2,0.6
"14",29646,6,3,2,0.5
"15",29666,9,6,2,0.67
"16",29668,11,6,3,0.55
"17",29671,2,0,2,0
"18",29679,3,0,2,0
"19",29710,11,7,2,0.64
"20",29734,8,5,3,0.62
"21",29901,3,2,3,0.67
"22",29913,4,1,1,0.25
"23",29935,3,0,2,0
"24",29968,8,5,3,0.62
"25",29980,9,0,3,0
"26",30096,6,4,3,0.67
"27",30100,5,3,3,0.6
"28",30102,8,7,4,0.88
"29",30151,6,4,4,0.67
"30",30163,6,4,3,0.67
"31",30171,6,3,5,0.5
"32",30249,5,2,2,0.4
"33",30290,5,2,2,0.4
"34",30342,7,4,2,0.57
"35",30346,4,1,3,0.25
"36",30368,9,7,3,0.78
"37",30383,6,2,3,0.33
"38",30442,3,1,2,0.33
"39",30444,12,4,3,0.33
"40",30452,13,9,3,0.69
"41",30495,7,0,2,0
"42",30516,3,2,3,0.67
"43",30572,4,3,3,0.75
"44",30643,4,3,2,0.75
"45",30645,10,4,3,0.4
"46",30648,7,3,2,0.43
"47",30670,3,2,2,0.67
"48",30701,7,2,2,0.29
"49",30737,10,8,4,0.8
"50",30743,10,6,3,0.6
"51",30747,8,7,6,0.88
"52",30772,5,1,3,0.2
"53",30779,10,7,3,0.7
"54",30788,3,1,3,0.33
"55",30869,10,5,5,0.5
"56",30901,5,2,2,0.4
"57",30902,6,2,2,0.33
"58",30905,7,3,2,0.43
"59",30943,3,2,6,0.67
"60",30990,6,4,6,0.67
"61",31041,6,4,2,0.67
"62",31052,6,3,2,0.5
"63",31053,9,5,6,0.56
"64",31119,13,5,3,0.38
"65",31188,3,2,3,0.67
"66",31197,4,0,2,0
"67",31209,6,4,4,0.67
"68",31219,3,1,2,0.33
"69",31258,10,4,4,0.4
"70",31285,4,0,3,0
"71",31314,6,4,3,0.67
"72",31316,5,3,2,0.6
"73",31339,4,0,3,0
"74",31341,3,0,4,0
"75",31368,9,6,4,0.67
"76",31520,7,3,2,0.43
"77",31523,4,2,3,0.5
"78",31524,6,2,3,0.33
"79",31540,5,0,4,0
"80",31600,7,5,5,0.71
"81",31610,16,5,6,0.31
"82",31652,8,4,3,0.5
"83",31659,7,2,2,0.29
"84",31661,7,3,2,0.43
"85",31683,14,6,3,0.43
"86",31707,5,1,3,0.2
"87",31712,5,2,5,0.4
"88",31718,10,6,5,0.6
"89",31734,9,4,5,0.44
"90",31772,11,4,2,0.36
"91",31779,7,5,2,0.71
"92",31782,3,1,3,0.33
"93",31795,3,1,2,0.33
"94",31796,5,4,5,0.8
"95",31812,6,2,3,0.33
"96",31826,7,4,4,0.57
"97",31835,7,4,3,0.57
"98",31837,5,1,4,0.2
"99",31853,5,2,2,0.4
"100",31856,12,5,2,0.42
"101",31869,3,1,3,0.33
"102",31884,11,3,3,0.27
"103",31942,3,2,3,0.67
"104",31962,3,2,4,0.67
"105",31978,7,5,2,0.71
"106",31991,10,2,4,0.2
"107",31999,4,3,2,0.75
"108",32007,7,5,4,0.71
"109",32048,5,3,2,0.6
"110",32055,4,3,2,0.75
"111",32078,6,3,3,0.5
"112",32086,6,2,4,0.33
"113",32091,7,4,3,0.57
"114",32095,8,4,3,0.5
"115",32124,5,3,2,0.6
"116",32169,3,0,3,0
"117",32209,5,3,2,0.6
"118",32274,4,2,2,0.5
"119",32301,3,2,2,0.67
"120",32324,8,4,5,0.5
"121",32334,14,6,5,0.43
